country,mean_stance,n_speeches,first_date,last_date,anti_share,wait_share,pro_share
Korea,0.5454545454545454,11,2017-01-02,2024-06-12 00:00:00,0.0,0.45454545454545453,0.5454545454545454
Australia,0.5,14,2017-12-13,2024-12-12 00:00:00,0.0,0.5,0.5
Mexico,0.5,6,2019-07-09,2022-09-20 00:00:00,0.16666666666666666,0.16666666666666666,0.6666666666666666
Netherlands,0.5,4,2020-11-09,2024-04-05 00:00:00,0.0,0.5,0.5
Russia,0.5,4,2020-12-03,2021-09-22 00:00:00,0.0,0.5,0.5
Albania,0.5,2,2020-12-10,2021-12-06 00:00:00,0.0,0.5,0.5
Chile,0.5,2,2017-06-29,2019-09-12 00:00:00,0.0,0.5,0.5
Croatia,0.5,2,2023-03-09,2023-06-29 00:00:00,0.0,0.5,0.5
Pakistan,0.5,2,2017-11-21,2022-11-14 00:00:00,0.0,0.5,0.5
Ireland,0.4666666666666667,15,2016-06-16,2024-11-25 00:00:00,0.06666666666666667,0.4,0.5333333333333333
Philippines,0.45454545454545453,11,2018-01-12,2024-07-30 00:00:00,0.0,0.5454545454545454,0.45454545454545453
Japan,0.3684210526315789,19,2016-05-12,2024-03-06 00:00:00,0.0,0.631578947368421,0.3684210526315789
Euro Area,0.34210526315789475,76,2016-04-25,2024-11-28 00:00:00,0.039473684210526314,0.5789473684210527,0.3815789473684211
New Zealand,0.3333333333333333,12,2018-06-26,2024-10-14 00:00:00,0.08333333333333333,0.5,0.4166666666666667
South Africa,0.3333333333333333,6,2017-08-22,2024-10-02 00:00:00,0.16666666666666666,0.3333333333333333,0.5
Lithuania,0.3333333333333333,3,2018-05-16,2022-09-29 00:00:00,0.0,0.6666666666666666,0.3333333333333333
UK,0.29411764705882354,34,2016-03-02,2024-10-26 00:00:00,0.0,0.7058823529411765,0.29411764705882354
Sweden,0.25,4,2016-11-16,2022-05-31 00:00:00,0.0,0.75,0.25
Canada,0.2,10,2016-06-17,2024-09-24 00:00:00,0.0,0.8,0.2
Norway,0.2,5,2018-11-01,2021-05-11 00:00:00,0.0,0.8,0.2
US,0.15625,32,2017-03-03,2024-11-12 00:00:00,0.09375,0.65625,0.25
Serbia,0.0,3,2021-12-02,2023-06-22 08:18:00,0.0,1.0,0.0
Belgium,0.0,2,2018-09-14,2018-11-30 00:00:00,0.0,1.0,0.0
Czech Republic,0.0,2,2017-07-11,2018-02-27 00:00:00,0.0,1.0,0.0
Iceland,0.0,1,2018-04-05,2018-04-05 00:00:00,0.0,1.0,0.0
Kenya,0.0,1,2021-09-22,2021-09-22 00:00:00,0.0,1.0,0.0
Denmark,-0.14285714285714285,7,2017-10-30,2024-02-19 00:00:00,0.14285714285714285,0.8571428571428571,0.0
Botswana,-1.0,1,2017-11-16,2017-11-16 00:00:00,1.0,0.0,0.0
